strategy,ticker,name,entry_date,exit_date,entry_price,exit_price,pnl_pct,exit_reason,hold_days
A_눌림목,012450,한화에어로스페이스,2024-03-06,2024-03-06,188960.0,207336.0,9.451,TP,0
A_눌림목,012450,한화에어로스페이스,2024-06-25,2024-06-25,242439.0,234578.0,-3.484,SL,0
A_눌림목,034020,두산에너빌리티,2022-03-17,2022-03-21,22700.0,21964.0,-3.484,SL,4
A_눌림목,068270,셀트리온,2024-08-13,2024-08-13,183070.0,177134.0,-3.484,SL,0
A_눌림목,329180,HD현대중공업,2024-05-03,2024-05-14,136500.0,141802.0,3.625,EXPIRE,11
A_눌림목,012330,현대모비스,2024-10-22,2024-10-25,241000.0,264437.0,9.451,TP,3
A_눌림목,035420,NAVER,2021-06-29,2021-07-07,409500.0,416040.0,1.344,EXPIRE,8
A_눌림목,267260,HD현대일렉트릭,2022-06-10,2022-06-13,23450.0,22690.0,-3.484,SL,3
A_눌림목,042700,한미반도체,2023-11-10,2023-11-10,61400.0,67371.0,9.451,TP,0
A_눌림목,298040,효성중공업,2024-02-23,2024-03-04,184500.0,202442.0,9.451,TP,10
A_눌림목,272210,한화시스템,2024-03-12,2024-03-12,18220.0,17629.0,-3.484,SL,0
A_눌림목,034730,SK,2023-10-18,2023-10-20,151000.0,146104.0,-3.484,SL,2
A_눌림목,035720,카카오,2022-11-16,2022-11-16,59700.0,57764.0,-3.484,SL,0
A_눌림목,003670,포스코퓨처엠,2022-04-14,2022-04-22,123587.0,121706.0,-1.768,EXPIRE,8
A_눌림목,003670,포스코퓨처엠,2023-03-21,2023-03-27,241844.0,265363.0,9.451,TP,6
A_눌림목,047810,한국항공우주,2022-03-25,2022-03-29,43450.0,42041.0,-3.484,SL,4
A_눌림목,079550,LIG넥스원,2024-02-19,2024-02-22,129300.0,141874.0,9.451,TP,3
A_눌림목,000250,삼천당제약,2024-03-21,2024-03-22,86700.0,83889.0,-3.484,SL,1
A_눌림목,017670,SK텔레콤,2021-12-02,2021-12-10,53600.0,55605.0,3.482,EXPIRE,8
A_눌림목,003550,LG,2024-02-07,2024-02-19,90000.0,98752.0,9.451,TP,12
